airport,dep_time_blk,recommended_buffer_min,mean_alpha,pct_alpha_below_02,event_count,data_source
FLL,2200-2259,21.8,9.609277605754922,0.42,777,cell
FLL,2300-2359,43.7,13.96078431372549,0.467,15,cell
FMN,0001-0559,25.4,17.909295046271097,0.359,167,cell
FNT,0001-0559,17.6,8.909625163352386,0.448,2,airport_fallback
FNT,0600-0659,17.8,7.934921297660761,0.581,234,cell
FNT,0700-0759,18.0,9.276211872307698,0.578,370,cell
FNT,0800-0859,13.2,11.935636740048505,0.595,74,cell
FNT,0900-0959,23.2,14.149570842998475,0.384,86,cell
FNT,1000-1059,20.6,10.445406474003418,0.317,186,cell
FNT,1100-1159,16.3,6.0084747308885245,0.345,58,cell
FNT,1200-1259,18.1,14.76349878554635,0.254,63,cell
FNT,1300-1359,21.4,9.104618598338602,0.28,118,cell
FNT,1400-1459,18.0,10.25357597645832,0.329,356,cell
FNT,1500-1559,21.4,11.011491147968899,0.23,122,cell
FNT,1600-1659,15.6,7.787647930168148,0.453,391,cell
FNT,1700-1759,9.5,1.8414304688762346,0.467,45,cell
FNT,1800-1859,11.4,5.092731060888686,0.589,73,cell
FNT,1900-1959,9.6,4.047277389277389,0.636,55,cell
FNT,2000-2059,0.2,1.7939814246211305,0.8,50,cell
FNT,2100-2159,12.0,3.5346055544661814,0.619,21,cell
FNT,2200-2259,17.6,8.909625163352386,0.448,5,airport_fallback
FOD,1000-1059,18.5,7.576913886806597,0.366,232,cell
FOD,1400-1459,21.3,15.021876845445195,0.304,224,cell
FSD,0001-0559,18.2,9.100061914552189,0.463,681,cell
FSD,0600-0659,12.1,5.865982815462789,0.623,578,cell
FSD,0700-0759,13.4,4.020206294445356,0.669,166,cell
FSD,0800-0859,5.2,4.476169115971747,0.759,228,cell
FSD,0900-0959,3.8,1.930445995145631,0.75,32,cell
FSD,1000-1059,16.2,9.30323490378235,0.401,137,cell
FSD,1100-1159,16.4,8.042554158763977,0.451,463,cell
FSD,1200-1259,21.4,9.803140566459119,0.269,279,cell
FSD,1300-1359,20.7,10.969306792488974,0.288,563,cell
FSD,1400-1459,22.4,11.086844625333969,0.343,545,cell
FSD,1500-1559,16.5,9.035788359788361,0.507,75,cell
FSD,1600-1659,11.4,4.472789701395621,0.379,232,cell
FSD,1700-1759,19.1,11.642914467782557,0.381,633,cell
FSD,1800-1859,11.8,6.905503043712128,0.559,286,cell
FSD,1900-1959,11.4,4.148356128486642,0.5,126,cell
FSD,2000-2059,10.4,3.992656182465468,0.482,114,cell
FSD,2100-2159,21.0,8.570360837794231,0.414,116,cell
FSD,2200-2259,18.4,8.51388888888889,0.294,17,cell
FSM,0001-0559,17.3,10.547169811320755,0.396,53,cell
FSM,0600-0659,12.2,6.067859108420474,0.543,230,cell
FSM,0900-0959,18.1,8.923333333333334,0.167,30,cell
FSM,1000-1059,17.4,8.015355982260841,0.305,249,cell
FSM,1100-1159,13.0,5.814186035680969,0.452,7,airport_fallback
FSM,1500-1559,10.2,3.5785130498823445,0.455,33,cell
FSM,1700-1759,10.4,3.1118414277092525,0.397,58,cell
FSM,1800-1859,7.8,3.532408829482923,0.529,223,cell
FSM,2000-2059,2.9,0.42325267814005296,0.781,32,cell
FWA,0001-0559,17.0,8.412553552822095,0.529,255,cell
FWA,0600-0659,13.8,7.907104373457542,0.541,590,cell
FWA,0700-0759,16.2,7.181634669691857,0.529,501,cell
FWA,0800-0859,9.1,4.3831381733021075,0.648,244,cell
FWA,0900-0959,15.8,12.052636335821195,0.353,150,cell
FWA,1000-1059,16.2,8.748099465921285,0.324,179,cell
FWA,1100-1159,15.8,10.923662594736665,0.311,421,cell
FWA,1200-1259,21.0,11.326522577173233,0.233,407,cell
FWA,1300-1359,19.7,9.642828756614716,0.29,224,cell
FWA,1400-1459,13.9,15.712871056024124,0.485,398,cell
FWA,1500-1559,27.2,11.748456011147143,0.185,27,cell
FWA,1600-1659,14.4,6.703625529030552,0.538,359,cell
FWA,1700-1759,14.5,7.365633390019035,0.44,448,cell
FWA,1800-1859,16.4,8.27587287515651,0.475,613,cell
FWA,1900-1959,13.1,6.6917794629390555,0.491,112,cell
FWA,2000-2059,11.0,8.788469926538108,0.477,44,cell
FWA,2100-2159,9.4,4.422973890544885,0.595,42,cell
FWA,2200-2259,12.7,5.516963772282921,0.622,37,cell
GCC,0001-0559,15.0,10.436346780345044,0.535,271,cell
GCC,1400-1459,13.3,14.132735791141057,0.49,290,cell
GCK,0001-0559,12.3,8.766390420842475,0.603,219,cell
GCK,0600-0659,6.6,4.315946348733234,0.689,61,cell
GCK,1400-1459,17.8,9.061938487629886,0.25,84,cell
GCK,1500-1559,10.1,4.2802497627675065,0.455,209,cell
GEG,0001-0559,13.0,5.675140033419328,0.57,1506,cell
GEG,0600-0659,14.8,5.9032983854145265,0.556,1895,cell
GEG,0700-0759,15.8,5.817128440679336,0.592,1518,cell
GEG,0800-0859,13.8,5.457270408163265,0.554,112,cell
GEG,0900-0959,22.0,12.095249154187409,0.311,453,cell
GEG,1000-1059,20.3,11.011824769433465,0.163,92,cell
GEG,1100-1159,14.2,7.067057566071542,0.418,693,cell
GEG,1200-1259,14.0,6.652600695494664,0.394,502,cell
GEG,1300-1359,18.8,9.92608793108444,0.373,867,cell
GEG,1400-1459,19.8,11.62298785724573,0.313,517,cell
GEG,1500-1559,16.2,6.641920968365266,0.479,1103,cell
GEG,1600-1659,10.3,5.2379986844859205,0.572,619,cell
GEG,1700-1759,13.2,5.926863568076592,0.456,557,cell
GEG,1800-1859,15.1,6.879147387732886,0.516,258,cell
GEG,1900-1959,11.6,4.755321469518668,0.588,400,cell
GEG,2000-2059,14.8,4.1647746818025455,0.368,19,cell
GEG,2100-2159,8.6,5.5572263275476885,0.609,46,cell
GEG,2300-2359,15.6,6.846140713282753,0.497,4,airport_fallback
GFK,0001-0559,12.3,5.286776406035666,0.437,135,cell
GFK,0600-0659,14.8,7.774940321961365,0.462,4,airport_fallback
GFK,1000-1059,14.8,7.774940321961365,0.462,4,airport_fallback
GFK,1100-1159,14.8,7.774940321961365,0.462,9,airport_fallback
GFK,1200-1259,15.6,8.557412870727195,0.426,256,cell
GFK,1300-1359,14.8,7.774940321961365,0.462,2,airport_fallback
GFK,1400-1459,8.6,10.081372549019608,0.55,20,cell
GFK,1500-1559,20.9,9.0,0.294,17,cell
GFK,1600-1659,12.1,3.8686508338682253,0.573,117,cell
GFK,1700-1759,11.7,5.018039215686275,0.62,50,cell
GFK,2000-2059,14.8,7.774940321961365,0.462,7,airport_fallback
GFK,2100-2159,30.2,9.222541102975885,0.375,16,cell
GFK,2200-2259,14.8,7.774940321961365,0.462,2,airport_fallback
GGG,0600-0659,11.4,6.664474101344027,0.531,262,cell
GGG,1300-1359,15.2,12.937699941207796,0.25,176,cell
GGG,1400-1459,14.0,5.731923751299303,0.351,114,cell
GJT,0001-0559,16.2,7.951925341115427,0.481,705,cell
GJT,0600-0659,16.8,7.6349128689717425,0.417,422,cell
GJT,0700-0759,13.7,5.838295083601206,0.592,294,cell
GJT,0800-0859,16.2,8.616695535855792,0.436,1,airport_fallback
GJT,0900-0959,16.2,8.616695535855792,0.436,2,airport_fallback
GJT,1000-1059,16.2,8.616695535855792,0.436,3,airport_fallback
GJT,1100-1159,16.4,7.412837848976976,0.355,434,cell
GJT,1200-1259,22.4,14.67671782444283,0.208,96,cell
GJT,1300-1359,15.0,7.699971415870962,0.408,444,cell
GJT,1500-1559,21.2,14.297576419602787,0.338,390,cell
GJT,1600-1659,16.2,8.616695535855792,0.436,4,airport_fallback
GJT,1700-1759,41.2,17.291726264381257,0.477,65,cell
GJT,1800-1859,11.6,6.61015258802229,0.515,437,cell
GJT,1900-1959,6.7,3.162007192509111,0.6,20,cell
GJT,2100-2159,16.2,8.616695535855792,0.436,1,airport_fallback
GNV,0001-0559,24.9,24.903342366757002,0.481,27,cell
GNV,0600-0659,12.8,9.061192877756813,0.502,715,cell
GNV,0700-0759,11.0,6.718418368753273,0.576,139,cell
GNV,0800-0859,9.2,4.120338983050847,0.593,59,cell
